created_at,text
2021-11-30 16:38:10,"More twisting of history by #Russia corrupt MFA:

In 1939 the #SovietUnion was allied with #Hitler and had agreed w… https://t.co/I7rhEvEnGt"
2021-11-30 16:27:32,RT @Charles_Lister: More prosecutable evidence exists against #Assad than we had against #Hitler -- so the recent wave of regional re-engag…
2021-11-30 16:27:26,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 16:21:14,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 16:19:19,"If, an #Organization like #UN doesn't hv the courage to stand up for #justice, the hope and answer for the future o… https://t.co/umOSRde8Le"
2021-11-30 16:17:21,"@ladailynews #Putin is honoring the #Stalin - #Hitler pact which 
carved out Poland with the Germans taking the lar… https://t.co/LfvPko8pOT"
2021-11-30 16:16:31,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 16:13:50,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 16:11:01,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-11-30 16:10:51,#hitler is back https://t.co/lVncx1Wyph
2021-11-30 16:07:21,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 16:04:20,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 16:04:17,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 16:03:21,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 16:01:55,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:56:40,RT @Himat75: #Russian mobilization of troops with border of #Ukraine reminds the time #NaziGermany was deploying forces at border of #Russi…
2021-11-30 15:49:10,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:45:43,#Russian mobilization of troops with border of #Ukraine reminds the time #NaziGermany was deploying forces at borde… https://t.co/6fPT4olT42
2021-11-30 15:45:01,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:43:44,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:35:13,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:34:34,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:32:25,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:31:27,The Brooklyn Times - https://t.co/7HYeWVXjWX | #TNT - The #News And #Times - https://t.co/Ua2bBpzYYT | #JOSSICA - J… https://t.co/rJqkoZ8dZK
2021-11-30 15:31:08,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:30:13,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:30:01,RT @GlasnostGone: @EmbassyofRussia @mfa_russia @RussianEmbFinla @mil_hist_rf @mod_russia @miladvisor @WW2HistoryProj @WW2Facts @ww2historyb…
2021-11-30 15:24:57,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:20:14,@pmakela1 Mildly relevant earlier post: https://t.co/VoSICTDnD1 #WWII #Hitler #Mannerheim #ContinuationWar #Finland #Suomi
2021-11-30 15:18:07,"RT @RoshanSonmi: Situation of 2day’s #NewIndia is well described in #HITLER👺’s New-Germany in a movie #RiseOfEvil.

Each Indian must watch…"
2021-11-30 15:11:06,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 15:08:01,"This #myanmar ""lawyers' note"" from Aung San Suu Kyi is FAKE.   Beware of Fake News from Ma Aye Loe Ja Bu.… https://t.co/nnS78ZyOmA"
2021-11-30 15:01:57,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 14:50:22,"RT @GlasnostGone: On this Day in 1939: Having allied itself to #Nazi Germany, Soviet Russia invaded #Finland. In what's become known as the…"
2021-11-30 14:50:20,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 14:40:24,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
2021-11-30 14:40:05,"RT @BandanaMrs: HOW LONG #CITIZEN ARE TO BE BEFOOLING WHEN #PARLIAMENTMONSOONSESSION,14 NOS BILLS PASSED KICKING OUT OPPOSITION INTO DUSTBI…"
2021-11-30 14:39:56,"RT @BandanaMrs: AGAIN AGAIN BY HOOK OR BY CROOK, BILLS  PASSED WITHOUT DEBATE VIOLATING #Constitution  RULES, AS USUAL PRACTICE LIKE RULLIN…"
2021-11-30 14:37:26,RT @SolomonYue: This is a smoking gun showing today's #Xitler is yesterday's #Hitler by committing Uyghur genocide.
